Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
8196	17962	0.00	-2.00	-7.03
8196	14125	-2.07	-3.88	-3.93
8196	16134	-3.53	-4.02	-5.59
8196	12966	0.00	-1.06	-6.98
8196	16144	-1.59	-2.80	-4.74
8196	1298	-3.45	-3.45	-4.89
8196	2324	0.00	-1.88	-5.69
8196	11541	-1.59	-3.35	-3.35
8196	1305	-1.67	-2.97	-4.29
8196	3354	-1.59	-2.66	-7.85
8196	14127	-2.01	-3.88	-3.93
8196	11550	-1.21	-3.35	-3.35
8196	4896	0.00	-2.66	-3.61
8196	3372	-1.08	-2.38	-5.00
8196	19762	-1.21	-2.00	-4.53
8196	4911	-1.59	-3.20	-3.61
8196	3377	0.00	-2.38	-5.00
8196	2866	-1.59	-1.59	-4.72
8196	563	0.00	-2.38	-5.33
8196	19764	0.00	-2.00	-3.90
8196	3381	-1.59	-2.38	-5.00
8196	310	0.00	0.00	-5.43
8196	3383	0.00	-2.38	-5.00
8196	19769	-1.35	-4.01	-4.01
8196	2874	0.00	-1.88	-2.93
8196	315	0.00	0.00	-5.43
8196	3388	0.00	-2.38	-4.67
8196	4927	-1.21	-2.38	-3.61
8196	13125	0.00	-5.67	-5.67
8196	14150	-1.21	-2.38	-3.61
8196	14156	-1.59	-2.00	-3.85
8196	19450	-1.59	-2.66	-4.20
8196	18256	0.00	-2.66	-3.93
8196	1873	-1.59	-2.14	-4.50
8196	9554	-1.59	-3.22	-4.62
8196	9556	-1.21	-3.22	-5.59
8196	1877	-1.59	-2.14	-5.00
8196	9558	0.00	-3.22	-5.00
8196	9559	-1.35	-3.22	-5.00
8196	18916	-1.21	-1.88	-3.93
8196	16730	-1.21	-5.23	-5.92
8196	12175	0.00	-1.06	-5.18
8196	16732	-1.45	-5.23	-5.61
8196	4922	-1.59	-2.38	-3.10
8196	16734	0.00	-5.23	-5.61
8196	14687	-1.08	-2.00	-5.62
8196	4448	-1.59	-2.66	-4.21
8196	3427	0.00	-3.04	-3.90
8196	11624	0.00	-2.38	-4.40
8196	3434	-1.21	-2.38	-3.90
8196	13171	0.00	-3.22	-5.58
8196	2422	0.00	-2.38	-6.37
8196	1399	-1.59	-2.38	-4.91
8196	384	0.00	-2.00	-5.07
8196	14419	0.00	-1.70	-6.10
8196	387	-1.35	-2.00	-4.19
8196	8582	-1.59	-2.00	-5.71
8196	12169	0.00	-1.06	-7.97
8196	12170	0.00	-1.06	-8.47
8196	16780	-1.59	-2.38	-4.50
8196	12173	-1.59	-1.59	-5.32
8196	18319	-1.59	-2.38	-5.55
8196	4497	-0.52	-2.08	-3.77
8196	12178	0.00	-1.06	-4.84
8196	15939	-2.51	-4.25	-4.95
8196	404	0.00	-1.88	-4.19
8196	12184	0.00	-3.35	-4.84
8196	16795	-1.21	-1.21	-3.74
8196	4508	0.00	-2.08	-3.77
8196	19358	-3.32	-3.32	-4.71
8196	19360	-0.45	-3.04	-4.71
8196	16802	-1.59	-1.59	-3.88
8196	12289	-3.25	-5.32	-5.32
8196	16806	0.00	-3.04	-3.88
8196	17393	-1.59	-2.38	-7.80
8196	11688	0.00	-2.00	-5.00
8196	4523	-1.21	-2.00	-3.52
8196	16300	-1.59	-2.66	-3.61
8196	16302	-0.30	-2.66	-3.93
8196	19375	0.00	-3.04	-5.70
8196	4529	0.00	-2.00	-4.02
8196	3507	0.00	-2.00	-5.25
8196	16308	-1.21	-2.66	-4.85
8196	4535	-1.21	-2.00	-4.02
8196	4536	-1.08	-2.00	-4.02
8196	15293	-1.21	-3.71	-4.64
8196	15297	-1.35	-3.71	-4.19
8196	3010	0.00	-1.06	-3.06
8196	3013	-1.08	-1.08	-2.93
8196	2504	-1.21	-2.14	-3.93
8196	19447	-1.21	-2.66	-4.20
8196	12239	-1.21	-1.21	-5.28
8196	14288	0.00	-3.04	-4.91
8196	14290	-1.59	-3.04	-4.91
8196	3539	0.00	-5.70	-5.70
8196	12758	-1.59	-1.59	-3.93
8196	3543	-0.99	-5.70	-5.70
8196	12760	0.00	-1.06	-3.93
8196	476	-0.32	-1.88	-3.86
8196	9693	-1.08	-2.38	-5.00
8196	14302	0.00	-3.04	-4.14
8196	19280	-1.21	-4.25	-5.00
8196	18914	0.00	-2.00	-3.93
8196	483	0.00	-1.10	-4.64
8196	4068	0.00	-2.00	-5.06
8196	4069	0.00	-2.00	-6.96
8196	486	0.00	-1.10	-4.64
8196	12775	-2.18	-2.38	-5.09
8196	12777	-1.21	-2.38	-5.09
8196	16875	-1.08	-2.00	-5.62
